titre_appart,localisation,prix,nombre_chambre,nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Appartement à louer au Quartier des Hopitaux Casa,Casablanca,7 000 DH,3,2,137,"Appartements, à louer",Quartier des Hôpitaux,1,2,NaN,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_%C3%A0_louer_au_Quartier_des_Hopitaux__Casa_55725393.htm
Superbe Appartement à 145 m² Maarif extension,Casablanca,2 600 000 DH,3,2,145,"Appartements, à vendre",Maârif Extension,1,1,6-10 ans,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Superbe_Appartement_%C3%A0_145_m%C2%B2_Maarif_extension__55321806.htm
Matériels Professionnels à Casablanca,Casablanca,PRIX NON SPÉCIFIÉ,NaN,NaN,NaN,"Matériel de Bureau, à vendre",Aïn Chock,NaN,NaN,NaN,https://www.avito.ma/fr/a%C3%AFn_chock/mat%C3%A9riel_de_bureau/Mat%C3%A9riels_Professionnels_%C3%A0_Casablanca_53078082.htm
Appart 2 chambres avec ascenseur,Agadir,250 DH /Nuit,5,2,NaN,"Locations de vacances, à louer",Hay Salam,NaN,NaN,NaN,https://www.avito.ma/fr/hay_salam/locations_de_vacances/Appart_2_chambres_avec_ascenseur__53990549.htm
Appartement à vendre 307 m² à Casablanca,Casablanca,2 600 000 DH,4,3,307,"Appartements, à vendre",Maârif Extension,3,1,11-20 ans,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_%C3%A0_vendre_307_m%C2%B2_%C3%A0_Casablanca_54938457.htm
Appartement à vendre 57 m² à Casablanca,Casablanca,680 000 DH,2,2,57,"Appartements, à vendre",Sidi Maarouf,1,2,Neuf,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_%C3%A0_vendre_57_m%C2%B2_%C3%A0_Casablanca_55539057.htm
Appartement à louer 70 m² à Rabat,Rabat,5 500 DH,1,1,70,"Appartements, à louer",Hay Riad,1,1,NaN,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_louer_70_m%C2%B2_%C3%A0_Rabat_53786994.htm
Appartement à vendre à Casablanca,Casablanca,PRIX NON SPÉCIFIÉ,3,3,NaN,"Appartements, à vendre",Maârif Extension,1,2,Neuf,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_%C3%A0_vendre_%C3%A0_Casablanca_55725365.htm
Appart vue sur piscine Riviera Beach,Cabo Negro,350 DH /Nuit,5+,2,NaN,"Locations de vacances, à louer",Toute la ville,NaN,NaN,NaN,https://www.avito.ma/fr/cabo_negro/locations_de_vacances/Appart_vue_sur_piscine_Riviera_Beach_53174167.htm
Très Bel Appartement HS 125m2 a Les Princesses,Casablanca,8 500 DH,3,2,125,"Appartements, à louer",Les Princesses,1,2,NaN,https://www.avito.ma/fr/les_princesses/appartements/Tr%C3%A8s_Bel_Appartement_HS_125m2_a_Les_Princesses_55465895.htm
Tre propre apr 2mn Corniche,Martil,250 DH /Nuit,5,2,NaN,"Locations de vacances, à louer",Toute la ville,NaN,NaN,NaN,https://www.avito.ma/fr/martil/locations_de_vacances/Tre_propre_apr_2mn_Corniche_49013943.htm
appartement près de la plage,Tanger,6 500 DH,2,1,75,"Appartements, à louer",Malabata,1,3,NaN,https://www.avito.ma/fr/malabata/appartements/appartement_pr%C3%A8s_de_la_plage__55721621.htm
appartement moderne a vendre gueliz,Marrakech,1 760 000 DH,2,2,80,"Appartements, à vendre",Guéliz,1,1,Neuf,https://www.avito.ma/fr/gu%C3%A9liz/appartements/appartement_moderne_a_vendre__gueliz__55725380.htm
appartement à louer àhayriad,Rabat,8 000 DH,2,2,130,"Appartements, à louer",Hay Riad,2,2,NaN,https://www.avito.ma/fr/hay_riad/appartements/appartement_%C3%A0_louer_%C3%A0hayriad__55463940.htm
Belle Appartement bien meublé et équipé et décoré,Agadir,7 000 DH,2,2,105,"Appartements, à louer",Hay Mohammadi,1,8,NaN,https://www.avito.ma/fr/hay_mohammadi/appartements/Belle_Appartement_bien_meubl%C3%A9_et_%C3%A9quip%C3%A9_et_d%C3%A9cor%C3%A9__55725377.htm
Appartement à louer vide 3 chambr la colline 5000,Mohammedia,5 000 DH,3,3,120,"Appartements, à louer",Autre secteur,2,3,NaN,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_louer_vide_3_chambr_la_colline_5000_55725376.htm
Appartement à vendre 109 m² à Casablanca,Casablanca,1 250 000 DH,2,2,109,"Appartements, à vendre",Mers Sultan,1,2,Neuf,https://www.avito.ma/fr/mers_sultan/appartements/Appartement_%C3%A0_vendre_109_m%C2%B2_%C3%A0_Casablanca_55725362.htm
Appartement à louer 100 m² à Nador,Nador,350 DH,2,1,100,"Appartements, à louer",Aarid,2,2,NaN,https://www.avito.ma/fr/aarid/appartements/Appartement_%C3%A0_louer_100_m%C2%B2_%C3%A0_Nador_55688469.htm
Appartement à louer 157 m² à Casablanca,Casablanca,8 000 DH,3,3,157,"Appartements, à louer",Quartier des Hôpitaux,3,4,NaN,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Appartement_%C3%A0_louer_157_m%C2%B2_%C3%A0_Casablanca_53446967.htm
Appartement propre meublé à hay mohmadi,Agadir,3 500 DH,2,1,54,"Appartements, à louer",Hay Mohammadi,1,2,NaN,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_propre_meubl%C3%A9_%C3%A0_hay_mohmadi__55725359.htm
Appartement meublée pour location,Marrakech,400 DH /Nuit,5,2,NaN,"Locations de vacances, à louer",Allal El Fassi,NaN,NaN,NaN,https://www.avito.ma/fr/allal_el_fassi/locations_de_vacances/Appartement_meubl%C3%A9e_pour_location__55412283.htm
sublime appartement sur agdal,Rabat,699 DH /Nuit,2,1,NaN,"Locations de vacances, à louer",Agdal,NaN,NaN,NaN,https://www.avito.ma/fr/agdal/locations_de_vacances/sublime_appartement_sur_agdal_54222732.htm
Appartement à vendre 47 m² à Asilah,Asilah,400 000 DH,1,1,47,"Appartements, à vendre",Toute la ville,1,3,1-5 ans,https://www.avito.ma/fr/asilah/appartements/Appartement_%C3%A0_vendre_47_m%C2%B2_%C3%A0_Asilah_55725351.htm
appartement coloration,Casablanca,2 500 DH,2,1,80,"Appartements, à louer",Californie,2,1,NaN,https://www.avito.ma/fr/californie/appartements/appartement_coloration_55725347.htm
Charmant appartement situé à hay riad,Rabat,13 500 DH,4,3,170,"Appartements, à louer",Hay Riad,2,2,NaN,https://www.avito.ma/fr/hay_riad/appartements/Charmant_appartement_situ%C3%A9_%C3%A0_hay_riad_55725345.htm
Appartement à vendre 127 m² à Tanger,Tanger,1 300 000 DH,4,2,127,"Appartements, à vendre",Centre ville,1,3,21+ ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_127_m%C2%B2_%C3%A0_Tanger_53914419.htm
Appartement meublé al houda,Agadir,3 600 DH,2,1,80,"Appartements, à louer",El Houda,1,2,NaN,https://www.avito.ma/fr/el_houda/appartements/Appartement_meubl%C3%A9_al_houda_55725340.htm
Appartement à louer 150 m² à Tanger à la nuitée,Tanger,800 DH,2,2,150,"Appartements, à louer",De La Plage,2,3,NaN,https://www.avito.ma/fr/de_la_plage/appartements/Appartement_%C3%A0_louer_150_m%C2%B2_%C3%A0_Tanger_%C3%A0_la_nuit%C3%A9e_55675832.htm
bel appartement familial dans un quartier calme,Essaouira,150 DH /Nuit,5+,2,NaN,"Locations de vacances, à louer",Borj,NaN,NaN,NaN,https://www.avito.ma/fr/borj/locations_de_vacances/bel_appartement_familial_dans_un_quartier_calme__55725334.htm
Appartement à vendre 132 m² à bv 2 mars,Casablanca,1 400 000 DH,3,2,132,"Appartements, à vendre",2 Mars,1,2,NaN,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_132_m%C2%B2_%C3%A0_bv_2_mars__55725333.htm
Appartement louer à Marrakech,Marrakech,300 DH /Nuit,5,2,NaN,"Locations de vacances, à louer",Hay Izdihar,NaN,NaN,NaN,https://www.avito.ma/fr/hay_izdihar/locations_de_vacances/Appartement_louer_%C3%A0_Marrakech__55725332.htm
appart meublé familiale sans intermédiaire Wi-Fi,Tanger,200 DH /Nuit,5+,2,NaN,"Locations de vacances, à louer",Marjane,NaN,NaN,NaN,https://www.avito.ma/fr/marjane/locations_de_vacances/appart_meubl%C3%A9_familiale_sans_interm%C3%A9diaire_Wi_Fi_55623315.htm
Appartement louer à Marrakech,Marrakech,308 DH /Nuit,5,2,NaN,"Locations de vacances, à louer",Hay Targa,NaN,NaN,NaN,https://www.avito.ma/fr/hay_targa/locations_de_vacances/Appartement_louer_%C3%A0_Marrakech__55725330.htm
Studio A Louer Vacances Maarif casablanca,Casablanca,400 DH /Nuit,2,1,NaN,"Locations de vacances, à louer",Maarif,NaN,NaN,NaN,https://www.avito.ma/fr/maarif/locations_de_vacances/Studio_A_Louer_Vacances_Maarif_casablanca_54166694.htm
Élégant Appartement 125 m²,Casablanca,1 800 000 DH,3,2,120,"Appartements, à vendre",Californie,1,3,6-10 ans,https://www.avito.ma/fr/californie/appartements/%C3%89l%C3%A9gant_Appartement_125_m%C2%B2__55725329.htm
Appartement à vendre 100 m² à Bouznika,Bouznika,760 000 DH,3,2,100,"Appartements, à vendre",Autre secteur,2,2,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Bouznika_53700784.htm
CMN-ME-1600 - Appartement à vendre à 2 Mars,Casablanca,1 750 000 DH,3,2,127,"Appartements, à vendre",2 Mars,NaN,3,NaN,https://www.avito.ma/fr/2_mars/appartements/CMN_ME_1600___Appartement_%C3%A0_vendre_%C3%A0_2_Mars_55657903.htm
Appartement à vendre 96 m² à Martil,Martil,960 000 DH,3,2,96,"Appartements, à vendre",Toute la ville,1,2,6-10 ans,https://www.avito.ma/fr/martil/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Martil_54493261.htm
