titre_appart,localisation,prix,nombre_chambre,nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Appartement à vendre 160 m² à Casablanca Marina,Casablanca,3 700 000 DH,2,2,160,"Appartements, à vendre",Marina,2,1,Neuf,https://www.avito.ma/fr/marina/appartements/Appartement_%C3%A0_vendre_160_m%C2%B2_%C3%A0_Casablanca_Marina_55714361.htm
RAK-GU-1101 - Appartement à vendre à Ouasis,Marrakech,1 100 000 DH,2,2,108,"Appartements, à vendre",Hay Izdihar,NaN,1,NaN,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1101___Appartement_%C3%A0_vendre_%C3%A0_Ouasis_55187227.htm
Appartement à vendre 96 m² à Agadir,Agadir,1 230 000 DH,2,2,96,"Appartements, à vendre",Hay Mohammadi,1,2,6-10 ans,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_96_m%C2%B2_%C3%A0_Agadir_54435593.htm
Grande idéal appartement pour les Vacances Guilez,Marrakech,300 DH /Nuit,NaN,NaN,NaN,"Locations de vacances, à louer",Guéliz,NaN,NaN,NaN,https://www.avito.ma/fr/gu%C3%A9liz/locations_de_vacances/Grande_id%C3%A9al_appartement_pour_les_Vacances_Guilez__55665056.htm
Appartement meublé en location,Kénitra,5 000 DH,NaN,NaN,1,"Appartements, à louer",Mimosas,NaN,6,NaN,https://www.avito.ma/fr/mimosas/appartements/Appartement_meubl%C3%A9_en_location__54672135.htm
Appartement haut standing à victoria bouskoura,Casablanca,PRIX NON SPÉCIFIÉ,NaN,NaN,119,"Appartements, à vendre",Autre secteur,1,2,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_haut_standing_%C3%A0_victoria_bouskoura_55579379.htm
Appartement à vendre 100 m² à Casablanca,Casablanca,740 000 DH,4,3,100,"Appartements, à vendre",Autre secteur,1,1,Neuf,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Casablanca_55328964.htm
Appartement Haut Standing à les orchidées,Mohammedia,10 000 DH,NaN,NaN,124,"Appartements, à louer",Autre secteur,1,1,NaN,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_Haut_Standing_%C3%A0_les_orchid%C3%A9es_55686001.htm
Appartement à vendre 74 m² à Marrakech,Marrakech,660 000 DH,2,2,61,"Appartements, à vendre",Route de Casablanca,1,2,6-10 ans,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_74_m%C2%B2_%C3%A0_Marrakech_54693268.htm
Appartement à vendre 81 m² à Dar Bouazza,Dar Bouazza,1 350 000 DH,2,2,81,"Appartements, à vendre",Toute la ville,1,1,Neuf,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_81_m%C2%B2_%C3%A0_Dar_Bouazza_55714260.htm
Appartement 67 m² à Tanger,Tanger,PRIX NON SPÉCIFIÉ,NaN,NaN,67,"Appartements, à vendre",manar,1,2,Neuf,https://www.avito.ma/fr/manar/appartements/Appartement_67_m%C2%B2_%C3%A0_Tanger_53961997.htm
Appartement vue mer avec piscine à Taghazout,Taghazout,PRIX NON SPÉCIFIÉ,NaN,NaN,NaN,"Locations de vacances, à louer",Toute la ville,NaN,NaN,NaN,https://www.avito.ma/fr/taghazout/locations_de_vacances/Appartement_vue_mer_avec_piscine_%C3%A0_Taghazout_53594031.htm
Appartement 130m² à louer à Californie,Casablanca,8 000 DH,NaN,NaN,130,"Appartements, à louer",Californie,1,2,NaN,https://www.avito.ma/fr/californie/appartements/Appartement_130m%C2%B2_%C3%A0_louer_%C3%A0_Californie__37105953.htm
studio impeccable pour location journalière,Casablanca,500 DH /Nuit,NaN,NaN,NaN,"Locations de vacances, à louer",Racine,NaN,NaN,NaN,https://www.avito.ma/fr/racine/locations_de_vacances/studio_impeccable_pour_location_journali%C3%A8re__54334895.htm
A089 Appartement Meuble a Gauthier,Casablanca,10 000 DH,NaN,NaN,73,"Appartements, à louer",Gauthier,1,2,NaN,https://www.avito.ma/fr/gauthier/appartements/A089_Appartement_Meuble_a_Gauthier_55736837.htm
Appartement meublé a louer aux princesses,Casablanca,7 500 DH,NaN,NaN,52,"Appartements, à louer",Les Princesses,1,4,NaN,https://www.avito.ma/fr/les_princesses/appartements/Appartement_meubl%C3%A9_a_louer_aux_princesses__55736834.htm
RAK-GU-1106 - Appartement à vendre à Izdihar,Marrakech,850 000 DH,2,2,80,"Appartements, à vendre",Hay Izdihar,NaN,1,NaN,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1106___Appartement_%C3%A0_vendre_%C3%A0_Izdihar_55210368.htm
Appartement traversant à Victoria,Bouskoura,1 647 000 DH,3,2,126,"Appartements, à vendre",Victoria,1,Rez de chaussée,6-10 ans,https://www.avito.ma/fr/victoria/appartements/Appartement_traversant_%C3%A0_Victoria__55529721.htm
